Date,RMS P.O,Part Received,Vendor,Promise date,Notes,Vendor Contact,Recieved Date,Carrier,Trackin/Pro#,L,W,H,Weight,Inbound Shipping Charges,Date,Customer,Customer P.O,RMS Invoice #,Ship To,Line #,HS code,Shipped,Invoice Status,L,W,H,Weight,Carrier,Tracking/ Pro#,Crating/ Handling charges,Ship out Charges,Customer contact,Notes
24-May-23,9141,FIRE DETECTOR,GEXPRO,9/18/2023,,jmoore@gexproservices.com,9/19/2023,UPS,1Z0XW1070322423221,8,8,8,2 LBS,,5/20/2023,GE,42300024772,,GE Energy Parts. ATLANTA,,,9/20/2023,,8,8,8,2LBS,Fedex,773477767554,,,,
24-Jul-23,9214,FIRE DETECTOR,GEXPRO,mid to late October,received 8..received 4,jmoore@gexproservices.com,9/20/2023--4/30/2024,UPS,1Z0XW1070322423294/1Z2044E40343212448,16,4,4,3 LBS,,8/30/2022,Jords,108040,,"Contact ECI. YMD, China",,,11/16/2023..5/3/2024,Delivered,8,8,8,3LBS,UPS,1Z2Y36Y30391864679....1Z2Y36Y30391198167,,,,
29-Nov-22,9255,REPAIR KIT,Novaspect,12/29/2022,,TReboletti@novaspect.com,3/6/2023,,1Z6253760399268890,,,,,,11/29/2022,GE,42300060588,,GE Energy Parts. ATLANTA,1,,"06/08/2023 Fedex 772394639110
06/06/2023 Fedex 772367067842",,,,,,,,,,,
30-Nov-22,9256,PUMP BRG OIL EMERG,Buffalo,6/25/2023,"Nadine: will be shipped sometime in Late September, early October.",nschultz@buffalopumps.com,,,,,,,,,11/30/2022,GE,42300058566,,GE Energy Parts. ATLANTA,1,8413.19.000000,7/11/2024,,143,66,44,3850LBS,Fedex Frt,201762697,,,,
1-Dec-22,9257,PUMP BRG OIL EMERG,NECI,,Cancelled from Jords customer,CMurphy@neci.com,,,,,,,,,11/30/2022,Jords,108340-2,, ,,,,,,,,,,,,,,Order cancelled because project was cancelled
5-Dec-22,9258,MECHANICAL SEAL,Seal Distributor,12/19/2022,Received in full,tom@sealdistributors.com,,,,,,,,,12/1/2022,GE,42300061125,,GE Energy Parts. ATLANTA,1,,,,,,,,,,,,,Already sent shipped to Atlanta
28-Jun-22,9259,"Hot Rolled Angle 4.000 X 4.000 X 0.250
48INCH EA",McMaster,,,On Line,,,,,,,,,2-Dec-22,"Met-All, LLC.",22004,,"Met-All, LLC. 411 Industrial Drive. Griffith, IN 46319
Attn: Jeff Griffard 708.606.6942",,,,,,,,,,,,,,
6-Dec-22,9260,IMMERSION HEATER,Thermon,1/9/2023,,Kyle.Bordelon@thermon.com,,,,,,,,,12/6/2022,Jords,108336,,Contact ECI,1,,Delivered and invoiced,,,,,,,,,,,
6-Dec-22,9261,TRIAC BALL VALVES,Lesman,3/21/2023,,gina@lesman.com,,,,,,,,,12/6/2022,Jords,108310-2,,Contact ECI,all,,23-Mar,,,,,,,,,,,
6-Dec-22,9262,TRIAC BALL VALVES,Lesman,3/24/2023,,gina@lesman.com,,,,,,,,,12/6/2022,Jords,108341-2,,Contact ECI,all,,23-Mar,,,,,,,,,,,
8-Dec-22,9263,PARKER FILTER ELEMENTS,Lesman,,,gdavis@ritter1.com,Received,,,,,,,,12/8/2022,GE,42300062111,,GE Energy Parts. ATLANTA,1,,"07/11/2023 Fedex 772708244070
06/06/2023 Fedex 772366864301",,,,,,,,,,,
9-Dec-22,9264,"SOLENOID VALVES, SUN VALVES",Lesman,,,gdavis@ritter1.com,,,,,,,,,12/8/2022,GE,42300062085,,GE Energy Parts. ATLANTA,"1,2",,Delivered and invoiced,,,,,,,,,,,
9-Dec-22,9265,"SOLENOID VALVES, SUN VALVES",CMA-flowdyne,,,Aleksy@cmafh.com,,,,,,,,,12/8/2022,GE,42300062085,,,3 to 20,,Delivered and invoiced,,,,,,,,,,,
12-Dec-22,9266,Cold Rolled Flat Bar 1018,,,,bolingbrook@metalsupermarkets.com,,,,,,,,,2-Dec-22,"Met-All, LLC.",22004,,"Met-All, LLC. 411 Industrial Drive. Griffith, IN 46319
Attn: Jeff Griffard 708.606.6942",,,,,,,,,,,,,,
12-Dec-22,9267,SWIVEL CASTER,,,,Gloria.Gonzalez@motion.com,,,,,,,,,2-Dec-22,"Met-All, LLC.",22004,,"Met-All, LLC. 411 Industrial Drive. Griffith, IN 46319
Attn: Jeff Griffard 708.606.6942",,,,,,,,,,,,,,
12-Dec-22,9268,COM HY&LIT MANIFOLD,,,Taken from RMS Stock,hadley@mandwmfg.com,,,,,,,,,12/9/2022,GE,42300062530,,GE Energy Parts. ATLANTA,1,,Delivered and invoiced,,,,,,,,,,,Taken from stock
12-Dec-22,9269,COM HY&LIT MANIFOLD,,,Taken from RMS Stock,Aleksy@cmafh.com,,,,,,,,,12/9/2022,GE,42300062530,,,1,,Delivered and invoiced,,,,,,,,,,,Taken from stock
12-Dec-22,9270,COM HY&LIT MANIFOLD,,,Taken from RMS Stock,sharon_dessalet@pall.com,,,,,,,,,12/9/2022,GE,42300062530,,,1,,Delivered and invoiced,,,,,,,,,,,Taken from stock
12-Dec-22,9271,COM HY&LIT MANIFOLD,,,Taken from RMS Stock,diana.tischler@kaman.com,,,,,,,,,12/9/2022,GE,42300062530,,,1,,Delivered and invoiced,,,,,,,,,,,Taken from stock
12/12/2022. Shipped 2-6-2023,9272,OPEN CAVITY PLUG,,,,Aleksy@cmafh.com,,,,,,,,,12/12/2022,GE,42300062803,,GE Energy Parts. ATLANTA,1,,Delivered and invoiced,,,,,,,,,,,
12-Dec-22,9273,"VALVES, ETC",,,,CMurphy@neci.com,,,,,,,,,12/12/2022,Jords,108297,,Contact ECI,"1,2",,ECI Pickup from NCI 01/19/2023,,,,,,,,,,,
12-Dec-22,9274,RECEPTACLE ASSY,,,,mark.valenzia@graybar.com,,,,,,,,,012/09/2022,Jords,108357,,Contact ECI,1,,1/24/2023,,,,,,UPS,1Z2Y36Y30399815501,,,,
14-Dec-22,9275,PRESSURE GAUGE,AMETEK,,Received in full,patti.mattozzi@ametek.com,,UPS,1Z3626880370809329,,,,,,12/14/2022,GE,42300063280,,GE Energy Parts. ATLANTA,1,,06/27/2023 FEDEX 772579274518,,,,,,,,,,,Already sent shipped to Atlanta on 01/10/2023
14-Dec-22,9276,LIFT OIL SYS PRS SWITCH,,,,danielle.eddington@forbergsmith.com,,,,,,,,,12/14/2022,GE,42300063280,,,2,,06/27/2023 FEDEX 772579274518,,,,,,,,,,,Taken from stock
14-Dec-22,9277,"VALVES, ETC",,,,CMurphy@neci.com,,,,,,,,,12/14/2022,Jords,108381,,"CONTACT JORD FOR SHIPPPING INSTRUCTIONS.
GE Energy Parts. Inc. 4955 Mason Road. ATLANTA,GA 30349. United States
",all,,UNKNOWN,,,,,,,,,,,
15-Dec-22,9278,OPEN CAVITY PLUG,,,,Aleksy@cmafh.com,,,,,,,,,12/15/2022,GE,42300063586,,GE Energy Parts. ATLANTA,1,,23-Mar,,,,,,,,,,,
15-Dec-22,9279,COUPLING,,,,nschultz@buffalopumps.com,,,,,,,,,12/15/2022,GE,42300063694,,GE Energy Parts. ATLANTA,1,,07/05/2023 Fedex 772650875606,,,,,,,,,,,
20-Dec-22,9280,LIGHT SWITCH,,,,mark.valenzia@graybar.com,,,,,,,,,12/20/2022,Jords,108399,,Contact ECI,"1,2",,3/23/2023,,,,,,,,,,,
21-Dec-22,9281,SOLENOID VALVE,Co-Ax valves Inc,,,Steve.Hopson@coaxvalves.com,4/5/2023,UPS,1Z1792220354851535,,,,,,12/21/2022,Jords,108414,,ngbv,1,,06/29/2023 Fedex 772606501070,,,,,,,,,,,
22-Dec-22,9282 (was replaced for 9343 2/17/2023),LO FILTER CARTRIDGE,,,,bachey@hilliardcorp.com,,,,,,,,,12/22/2022,GE,42300065099,,GE Energy Parts. ATLANTA,1,,,,,,,,,,,,,
22-Dec-22,9283, ,,,,chi.sales@mcmaster.com,,,,,,,,,12/22/2022,GE,42300065083,,GE Energy Parts. ATLANTA,1,,8/29/2023,,,,,,Fedex,773243132516,,,,
22-Dec-22,9284,KIT-AIR FILTER REPLACEMENT,,,, ,,,,,,,,,12/22/2022,GE,42300065083,,,1,,8/29/2023,,,,,,Fedex,773243132516,,,,
22-Dec-22,9285,KIT-AIR FILTER REPLACEMENT,,,,sales@marcosupply.com,,,,,,,,,12/22/2022,GE,42300065083,,,1,,8/29/2023,,,,,,Fedex,773243132516,,,,
22-Dec-22,9286,KIT-AIR FILTER REPLACEMENT,,,,Robert@bvmcorp.net,,,,,,,,,12/22/2022,GE,42300065083,,,1,,8/29/2023,,,,,,Fedex,773243132516,,,,
22-Dec-22,9287,KIT-AIR FILTER REPLACEMENT,,,,chi.sales@mcmaster.com,,,,,,,,,12/22/2022,GE,42300065083,,,1,,8/29/2023,,,,,,Fedex,773243132516,,,,
22-Dec-22,9288,KIT-AIR FILTER REPLACEMENT,,,,chi.sales@mcmaster.com,,,,,,,,,12/22/2022,GE,42300065083,,,1,,8/29/2023,,,,,,Fedex,773243132516,,,,
3-Jan-23,9296,KIT-AIR FILTER REPLACEMENT,,,,,,,,,,,,,12/22/2022,GE,42300065083,,,1,,8/29/2023,,,,,,Fedex,773243132516,,,,
1-Feb-23,9341,KIT-AIR FILTER REPLACEMENT,,,,chi.sales@mcmaster.com,,,,,,,,,12/22/2022,GE,42300065083,,,1,,8/29/2023,,,,,,Fedex,773243132516,,,,
23-Dec-22,9289,"PRESSURE OPERATED SIREN, TOTAL FLOODING NOZZLES",,,,cgabbert@orrprotection.com,,,,,,,,,12/23/2022,Jords,108410,,CONTACT MAVVA@JORDENERGY.COM.AU,1,,1/19/2024,,,,,,UPS,1Z2Y36Y30393455634,,,,
23-Dec-22,9290,"PRESSURE OPERATED SIREN, TOTAL FLOODING NOZZLES",,,,rmisiaveg@phoenixfire.com,,,,,,,,,12/23/2022,Jords,108410,,,2 to 5,,1/19/2024,,,,,,UPS,1Z2Y36Y30393455634,,,,
2023,2023,2023,,,,2023,,,,,,,,,2023,2023,2023,,,,,6/8/2023,,,,,,,,,,,
3-Jan-23,9292,LIFT OIL SYS PRESS SWITCH,Forberg,,,danielle.eddington@forbergsmith.com, 2/1/2023,UPS,1Z6650740398140137,,,,,,1/3/2023,GE,42300064939,,GE Energy Parts. ATLANTA,1,,"06/08/2023 Fedex 772393649550
06/06/2023 Fedex 772366956730",,,,,,,,,,,
3-Jan-23,9293,"1"" SOLENOID VALVE",Forberg,,,danielle.eddington@forbergsmith.com,2/3/2023,UPS,1Z4506930394711006,,,,,,1/3/2023,GE,42300065921,,GE Energy Parts. ATLANTA,1,,Ready,,,,,,,,,,,Already received on Atlanta
3-Jan-23,9294,FILTER GASKETS,ADAMS SFC,Shipped 1/18/2023,Received in full,jmcneill@rpadams.com,,,,,,,,,1/3/2023,GE,42300065921,,,"1,2",,Ready,,,,,,,,,,,Already received on Atlanta
1-Feb-23,9340,FILTER GASKETS,ADAMS SFC,Shipped 2/2/2023,,jmcneill@rpadams.com,,,,,,,,,1/3/2023,GE,42300065921,,,"1,2",,Ready,,,,,,,,,,,Already received on Atlanta
3-Jan-23,9295,PISTON RING,Novaspect,,Received in full,TReboletti@novaspect.com,1/6/2023,UPS,1Z6253760392054829,,,,,,1/3/2023,GE,42300066065,,GE Energy Parts. ATLANTA,1,,07/06/2023 Fedex 772665276002,,,,,,,,,,,
4-Jan-23,9298,GASKET,Southgate Process Equipment,,,jlochner@southgateprocess.com,2/28/2023,WORLDWIDE EXPRESS,1Z540E3R0399589421,,,,,,1/4/2023,GE,42300065667,,GE Energy Parts. ATLANTA,"1,2",,3/3/2023,,,,,,,,,,,
6-Jan-23,9299,IP SHROUD,Novaspect,,Received in full,TReboletti@novaspect.com,1/18/2023,UPS,1z6253760391688058,,,,,,1/5/2023,GE,42300066677,,GE Energy Parts. ATLANTA,1,,1/24/2023,,,,,,Fedex,771109639546,,,,
6-Jan-23,9299,DIAPHRAGM,Novaspect,,Received in full,TReboletti@novaspect.com,1/18/2023,UPS,1z6253760391688058,,,,,,1/6/2023,GE,42300066934,,GE Energy Parts. ATLANTA,1,,07/05/2023 Fedex 772636330018,,,,,,,,,,,
6-Jan-23,9299,DIAPHRAGM,Novaspect,,Received in full,TReboletti@novaspect.com,1/18/2023,UPS,1z6253760391688058,,,,,,1/6/2023,GE,42300066935,,GE Energy Parts. ATLANTA,1,,Delivered and invoiced,,,,,,,,,,,
6-Jan-23,9300,ROXTEC,,,,kristen.eymann@roxtec.com,,,,,,,,,1/6/2023,Jords,108430,,Jords Vietnam,all,,3/21/2023,,,,,,,,,,,
6-Jan-23,9301,"BLOCK STOP, ROLLER, FOLLOWERS",,,,cs@fixtureworks.com,,,,,,,,,1/6/2023,Jords,108433-1,,Jords Vietnam,1,,1/24/2023,,,,,,UPS,1Z2Y36Y30392261854,,,,
6-Jan-23,9302,"BLOCK STOP, ROLLER, FOLLOWERS",,,,chi.sales@mcmaster.com,,,,,,,,,1/6/2023,Jords,108433-1,,,2,,1/24/2023,,,,,,UPS,1Z2Y36Y30392261854,,,,
6-Jan-23,9303,"BLOCK STOP, ROLLER, FOLLOWERS","BLOCK STOP, ROLLER, FOLLOWERS",,,customerservice@mrosupply.com,,,,,,,,,1/6/2023,Jords,108433-1,,,3,,1/24/2023,,,,,,UPS,1Z2Y36Y30392261854,,,,
6-Jan-23,9304,DIFF PRESSURE REDUCING REGULATOR,,,,customercare@swansonflo.com,,,,,,,,,1/6/2023,Jords,108442-1,,Jords Vietnam,1,,Delivered and invoiced,,,,,,,,,,,
6-Jan-23,9305,SAFETY GATES,,,,Johnny.Rivas@alimakgroup.com,,,,,,,,,1/6/2023,Jords,108461,,Jords Vietnam,all,,1/11/2023,,,,,,ECUTRUCK,83427811,,,,
6-Jan-23,9306,JAMESBURY VALVES,,,,esibincic@fcxperformance.com,,,,,,,,,1/6/2023,Jords,108482,,Jords Vietnam,all,,5/16/2023,,,,,,,,,,,
6-Jan-23,9307,PACKING SET,,,,TReboletti@novaspect.com,,,,,,,,,1/6/2023,ATC Corp,GT_PO-0042348,,,1,,1/12/2023,,,,,,,,,,,
10-Jan-23,9308,DOOR LATCH,,,,,,,,,,,,,1/10/2023,GE,42300067179,,GE Energy Parts. ATLANTA,1,,Delivered and invoiced,,,,,,,,,,,
10-Jan-23,9309,"PACKING SET, SPIRAL WOUND GASKET, RINGS",Novaspect,,Received in full,TReboletti@novaspect.com,1/20/2023,,,,,,,,1/10/2023,GE,42300067531,,GE Energy Parts. ATLANTA,all,,Delivered and invoiced,,,,,,,,,,,
10-Jan-23,9310,DIFF PRESSURE GAUGE,,,,gina@lesman.com,,,,,,,,,1/10/2023,Jords,108486,,CONTACT AT LKUMARA@JORDENERGY.COM.AU,1,,f,,,,,,UPS,1Z2Y36Y30398779115,,,,
11-Jan-23,9311,QUIRKWIRE,,,,mczub@quirkwire.com,,,,,,,,,1/11/2023,Jords,108349,,ECI,all,,5/12/2023,,,,,,,,,,,
11-Jan-23,9312,PUSH BUTTON FAN KILL SWITCH,,,,mark.valenzia@graybar.com,,,,,,,,,1/11/2023,Jords,108435,,Jords Vietnam,1,,3/23/2023,,,,,,,,,,,
11-Jan-23,9313,HINGES,,,,RSpall@marlborohinge.com,,,,,,,,,1/11/2023,Jords,108465,,Jords Vietnam,all,,ECI Pickup from Marlboro on Jan/2023,,,,,,,,,,,
11-Jan-23,9314,"VALVES, ETC",,,,CMurphy@neci.com,,,,,,,,,1/11/2023,Jords,108470,,"CONTACT JORD FOR SHIPPPING INSTRUCTIONS.
GE Energy Parts. Inc. 4955 Mason Road. ATLANTA,GA 30349. United States
",1,,Order not proccessed,,,,,,,,,,,
11-Jan-23,9315,"VALVE, MANIFOLD",,,,patti@theblythecompany.com,,,,,,,,,1/11/2023,Jords,108483-1,,Jords Vietnam,"1,2",,1/17/2023,,,,,,UPS,"1Z2145310391659881, 1Z2145310392668897",,,,
11-Jan-23,9316,"VALVE, MANIFOLD",,,,patti@theblythecompany.com,,,,,,,,,1/11/2023,Jords,108489,,Jords Vietnam,1,,1/17/2023,,,,,,UPS,"1Z2145310391382054
 1Z2145310391740461",,,,
1/12/2023,9317,DIFF PRESSURE GAUGES,,,,gina@lesman.com,,,,,,,,,1/11/2023,Jords,108484,,Jords Vietnam,1,,2/1/2024,,,,,,UPS,1Z2Y36Y30397553333,,,,
1/11/2023,9318,VALVE MANIFOLD,,,,patti@theblythecompany.com,,,,,,,,,1/10/2023,Jords,108488-1,,Contact ECI,1,,1/19/2023,,,,,,UPS,1Z2Y36Y30397235285,,,,
1/11/2023,9318,VALVE MANIFOLD,,,,patti@theblythecompany.com,,,,,,,,,1/10/2023,Jords,108509,,Contact ECI,all,,1/19/2023,,,,,,UPS,1Z2Y36Y30391439441,,,,
12-Jan-23,9319,FIRE DETECTOR,,8/11/2023,4 of 8 (12/26/23) 8 of 8 (2/2/24),jmoore@gexproservices.com,12/26/2023,UPS,1Z0XW1070322425603/612/621/630,12,9,9,6LBS,,1/12/2023,Jords,108542,,Contact ECI,"1,2",,2/19/2024,,36,8,8,21LBS,UPS,1Z2Y36Y30398605758/98794367,,,,
12-Jan-23,9320,PRESSURE GAUGE,,,,Noah@thuemling.com,,,,,,,,,1/12/2023,GE,42300068245,,GE Energy Parts. ATLANTA,1,,Delivered and invoiced,,,,,,,,,,,
13-Jan-23,9321,PLUG/STEM ASSY,Novaspect,,,TReboletti@novaspect.com,1/13/2023,UPS,,,,,,,1/13/2023,GE,42300068493,,GE Energy Parts. ATLANTA,1,,Delivered and invoiced,,,,,,,,,,,Already received on Atlanta
13-Jan-23,9322,LADDER RUNGS,,,,Jeff.Featherston@lichtgitterusa.com,,,,,,,,,1/13/2023,Jords,108538,,Jords Vietnam,1,,6/24/2023,,,,,,Shipped out by ECI under 1786th Air shipment,,,,,
13-Jan-23,9322,LADDER RUNGS,,,,Jeff.Featherston@lichtgitterusa.com,,,,,,,,,1/13/2023,Jords,108570,,Contact ECI,2,,6/24/2023,,,,,,Shipped out by ECI under 1786th Air shipment,,,,,
13-Jan-23,9323,TANK MAGNET,Hydradyne,2/24/2023,,Aleksy@cmafh.com,,,1Z6025520355375411,,,,,,1/13/2023,Jords,108566,,Contact ECI,1,,3/23/2023,,,,,,,,,,,
16-Jan-23,9325,AMETEK GAUGE,AMETEK,1/21/2023,,patti.mattozzi@ametek.com,,,,,,,,,1/16/2023,Jords,108506,,Contact ECI,1,,1-Feb,,,,,,UPS,1Z2Y36Y30399991722,,,,
16-Jan-23,9326,GASKET SET,Novaspect,shipped 1/19/2023,,TReboletti@novaspect.com,1/24/2023,UPS,,,,,,,1/16/2023,GE,42300068982,,GE Energy Parts. ATLANTA,1,,07/05/2023 Fedex 772637062526,,,,,,,,,,,
18-Jan-23,9327,FILTER CARTRIDGE,Novaspect,2/8/2023,,TReboletti@novaspect.com,,,1Z6253760392709747,,,,,,1/18/2023,Jords,108581,,CONTACT KSUNNY@JORDENERGY.COM.AU (AND) DGUNAWAN@JORDENERGY.COM.AU,1,,2/8/2023,,,,,,,,,,,
18-Jan-23,9328,UPPER CAGE (Line 8),Novaspect,2/13/2023,,TReboletti@novaspect.com,,,,,,,,,1/18/2023,GE,42300068949,,GE Energy Parts. ATLANTA,1,,9/14/2023 FedEx 77341960163,,8,8,8,13LBS,,,,,,
18-Jan-23,9328,GASKETS (Line 5 to 7),Novaspect,2/13/2023,Nova already invoiced,TReboletti@novaspect.com,,,,,,,,,1/18/2023,GE,42300069726-2,,GE Energy Parts. ATLANTA,17 to 19,,"07/05/2023 Fedex 772636153230
06/29/2023 Fedex 772605519454 Lines 7-10",,,,,,,,,,,
18-Jan-23,9329,GASKETS,SOUTHGATE,,Order canceled from customer.,,,,,,,,,,1/18/2023,GE,42300069726-2,,,,,,,,,,,,,,,,Order canceled from customer.
18-Jan-23,9330,GASKETS,Buffalo,1/24/2023,Buffalo already invoiced,nschultz@buffalopumps.com,,,,,,,,,1/18/2023,GE,42300069726-2,,,7 to 16,,"07/05/2023 Fedex 772636153230
06/29/2023 Fedex 772605519454 Lines 7-10",,,,,,,,,,,
18-Jan-23,9328,SHIM (Line 9),Novaspect,2/13/2023,,TReboletti@novaspect.com,,,,,,,,,1/19/2023,GE,42300070290,,GE Energy Parts. ATLANTA,1,,12/15/2023,Delivered,6,6,6,1LB,FedEx ,774499854672,,,,
19-Jan-23,9331,"BEARING BUSHING, THRUST BEARING KIT",Buffalo,,Received 01/23/2023,nschultz@buffalopumps.com,UPS,1Z1237410354620478,,,,,,,1/19/2023,GE,42300070371,,GE Energy Parts. ATLANTA,1,,9/20/2023,,,,,,Fedex,773477631826,,,,
19-Jan-23,9332,"BEARING BUSHING, THRUST BEARING KIT",Motion,,02/03/2023 and 04/25/23,Gloria.Gonzalez@motion.com,,,,,,,,,1/19/2023,GE,42300070371,,,2,,9/20/2023,,,,,,Fedex,773477631826,,,,
23-Jan-23,9334,SAFETY GATES,TRACTEL,Requested to arrive 01/31/2023,,Johnny.Rivas@alimakgroup.com,,,,,,,,,1/23/2023,Jords,108576,,Contact ECI,1,,2/15/2023,,,,,,,,,,,
23-Jan-23,9335,BLOCK STOP,,,pulled from stock,cs@fixtureworks.com,,,,,,,,,1/23/2023,Jords,108594,,CONTACT APRAKASH@JORDENERGY.COM.AU,1,,2/3/2023,,,,,,Fedex,771206797052,,,,
26-Jan-23,9336,SEPERATOR CARTRIDGE,Hilliard,2/17/2023,,bachey@hilliardcorp.com,,,,,,,,,1/25/2023,GE,42300071732,,GE Energy Parts. ATLANTA,1,,Delivered and invoiced,,,,,,,,,,,
26-Jan-23,9337,CARTRIDGE,RK CHASE,3/10/2023,,brose@rkchase.com,,,,,,,,,1/26/2023,GE,42300072005,,"GE Energy Parts, Inc. ENERGY SERVICES - ENERGY PARTS COE. FOR SHIPPING INSTRUCTIONS. FRANCE",1,,Delivered and invoiced,,,,,,,,,,,
26-Jan-23,9338,"PRESSURE SWITCH, VACUUM",Forberg,,"Delivered to PLAINFIELD, IL, US on 04/07/2023",danielle.eddington@forbergsmith.com,,,1Z6650740395430525,,,,,,1/26/2023,GE,42300072041,,GE Energy Parts. ATLANTA,1,,06/15/2023 Fedex 772465073436,,,,,,,,,,,
26-Jan-23,9339,JEN1527/JEN1214 HOSE KIT,Geib,3/1/2023,,Zalas@geibind.com,,,,,,,,,1/25/2023,Jords,108579,,CONTACT KBRADSHAW@JORDENERGY.COM.AU,1,,7/14/2023,,,,,,,,,,,
1-Feb-23,9342,ACCUMULATOR,Wilkes McClean,,Jord is unable to report in GE system that it is ready for pick up.,benjamin.finfrock@wilkesandmclean.com,7/27/2023,Roadrunner,576831184,50,11,11,339.51,,2/1/2023,Jords,108636,,"CONTACT VCHELLAKRISHNAN@JORDENERGY.COM.AU &
JYEE@JORDENERGY.COM.AU",1,,11/20/2023,Delivered,50,11,11,339.51,FedEx Freight,6605575713,,,,
17-Feb-23,9342,FAN COVER DRIP COVER,Steiner,1 - 2 Weeks,,bnelson@stnr.com,,UPS,,,,,,,1/31/2023,Jords,108630,,Contact ECI,"1,2",,,,,,,,,,,,,
21-Feb-23,9343,LO FILTER CARTRIDGE,Hilliard,shipped 2/22,,bachey@hilliardcorp.com>,,UPS,1Z5470860356485968,,,,,,,GE,42300065099,,GE Energy Parts. ATLANTA,1,,1/4/2023,,,,,,FedEx,770940438811,,,,PO 9343 has replaced PO 9282
2-Feb-23,9343,LIMIT SWITCH,EESCO,3/13/2023,,eescoservice@eescodist.com / pam.salotti@wesco.com,,UPS,1Z6299300306805910,,,,,,2/1/2023,Jords,108574,,Contact ECI,1,,23-Mar,,,,,,,,,,,
2-Feb-23,9344,NEEDLEVALVE,Sunbelt Supply,3/27/2023,,richard.matyas@sunbeltsupply.com,,UPS,1Z2W04880342968649,,,,,,2/1/2023,Jords,108622,,Jords Vietnam,1,,23-Mar,,,,,,,,,,,
13-Apr-23,9344,SAFETY GATE,TRACTEL,4/25/2023,,Johnny.Rivas@tractel.com,,UPS,,,,,,,2/22/2023,Jords,108711,,Contact ECI,"1,2",,Delivered and invoiced,,,,,,,,,,,
